year,value,series_code,dimension,measure,welfare_concept,short_reference,long_reference,reference url,preferred_definition,description,source_codes_used,legend
1987,8.11,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1988,8.58,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1989,8.14,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1990,8.16,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1991,8.17,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1992,7.69,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1993,8.68,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1994,9.9,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1995,10.03,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1996,11.47,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1997,11.92,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1998,12.81,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1999,12.04,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2000,11.59,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2001,11.54,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2002,11.9,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2003,12.97,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2004,12.84,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2005,14.1,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2006,14.5,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2007,14.55,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2008,13.95,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2009,14.17,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2010,12.15,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2011,13.02,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2012,12.63,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2013,13.69,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2014,13.23,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2015,12.25,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2016,12.41,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2017,13.3,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2018,12.96,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2019,12.6,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2020,12.65,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
2021,12.65,F31,Top Income Shares,Share of top 1%,Pre-tax national income (equal-split adults),,,,*,"Pre-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available in Blanchet, Chancel and Gethin (2020), and Atkinson (2007).",S41,Share of top 1% - Pre-tax national income (equal-split adults)
1980,4.23,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1981,4.22,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1982,4.68,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1983,4.62,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1984,4.68,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1985,4.76,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1986,5.07,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1987,5.49,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1988,5.6,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1989,5.06,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1990,5.34,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1991,5.7,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1992,5.56,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1993,6.22,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1994,6.79,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1995,6.99,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1996,8.21,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1997,7.9,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1998,8.39,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
1999,7.38,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2000,7.57,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2001,7.44,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2002,7.41,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2003,9.07,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2004,9.09,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2005,9.67,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2006,9.24,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2007,9.77,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2008,9.25,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2009,7.99,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2010,7.21,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2011,7.96,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2012,7.64,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2013,6.86,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
2014,8.01,F32,Top Income Shares,Share of top 1%,Post-tax national income (equal-split adults),,,,,"Post-tax national income share held by top percentile from WID.world. According to the WID's description of the dataset in the sources and information tab, ""the population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples"". More detail on the construction of this data is available Blanchet, Chancel and Gethin (2020).",S42,Share of top 1% - Post-tax national income (equal-split adults)
